Year,Name,Count,Rank
1980,AMANDA,199,1
1980,MELISSA,162,2
1980,JENNIFER,139,3
1980,JULIE,100,4
1980,SARAH,79,5
1980,LISA,77,6
1980,AMY,76,7
1980,MELANIE,67,8
1980,MARIE,67,9
1980,MICHELLE,60,10
1980,ANGELA,55,11
1980,STEPHANIE,54,12
1980,TANYA,52,13
1980,ERIN,51,14
1980,CHRISTINE,47,15
1980,HEATHER,45,16
1980,NICOLE,44,17
1980,ANNIE,43,18
1980,CINDY,43,19
1980,SYLVIE,43,20
1981,MELISSA,162,21
1981,JENNIFER,160,22
1981,AMANDA,138,23
1981,JULIE,106,24
1981,MARIE,101,25
1981,SARAH,98,26
1981,AMY,73,27
1981,LISA,59,28
1981,MELANIE,58,29
1981,CHRISTINE,56,30
1981,STEPHANIE,55,31
1981,MICHELLE,52,32
1981,MÉLANIE,50,33
1981,ANGELA,48,34
1981,TANYA,46,35
1981,ANNIE,46,36
1981,CINDY,43,37
1981,KRISTA,43,38
1981,ERIN,42,39
1981,HEATHER,40,40
1982,JENNIFER,174,41
1982,MELISSA,137,42
1982,AMANDA,126,43
1982,MARIE,95,44
1982,JESSICA,95,45
1982,SARAH,92,46
1982,JULIE,92,47
1982,MELANIE,82,48
1982,AMY,71,49
1982,STEPHANIE,65,50
1982,CRYSTAL,60,51
1982,ANGELA,53,52
1982,LISA,50,53
1982,CHRISTINE,48,54
1982,MICHELLE,45,55
1982,ERIN,44,56
1982,NICOLE,43,57
1982,NATHALIE,41,58
1982,MÉLANIE,41,59
1982,SYLVIE,40,60
1983,JENNIFER,145,61
1983,JESSICA,121,62
1983,AMANDA,119,63
1983,MELISSA,116,64
1983,JULIE,95,65
1983,SARAH,90,66
1983,STEPHANIE,86,67
1983,MARIE,74,68
1983,AMY,67,69
1983,ASHLEY,62,70
1983,CRYSTAL,60,71
1983,LISA,59,72
1983,NICOLE,51,73
1983,ERIN,50,74
1983,MELANIE,48,75
1983,ISABELLE,45,76
1983,MÉLANIE,45,77
1983,MICHELLE,43,78
1983,CHRISTINE,42,79
1983,ANGELA,42,80
1984,JENNIFER,146,81
1984,JESSICA,120,82
1984,MELISSA,118,83
1984,AMANDA,109,84
1984,SARAH,95,85
1984,ASHLEY,90,86
1984,MARIE,83,87
1984,STEPHANIE,72,88
1984,JULIE,70,89
1984,LAURA,66,90
1984,MÉLANIE,56,91
1984,AMY,53,92
1984,NICOLE,50,93
1984,MELANIE,48,94
1984,LISA,46,95
1984,MICHELLE,44,96
1984,CHRISTINE,44,97
1984,MEGAN,42,98
1984,DANIELLE,42,99
1984,ERIN,41,100
1985,JESSICA,124,101
1985,JENNIFER,113,102
1985,AMANDA,111,103
1985,ASHLEY,104,104
