Year,Name,Count,Rank
1980,MICHAEL,169,1
1980,CHRISTOPHER,144,2
1980,JASON,143,3
1980,MATTHEW,120,4
1980,DAVID,112,5
1980,ANDREW,95,6
1980,DANIEL,94,7
1980,JOSEPH,90,8
1980,ROBERT,89,9
1980,ERIC,83,10
1980,MARC,82,11
1980,ADAM,81,12
1980,MARK,81,13
1980,RYAN,78,14
1980,SCOTT,74,15
1980,KEVIN,72,16
1980,JUSTIN,71,17
1980,BRIAN,71,18
1980,JAMES,70,19
1980,NICHOLAS,70,20
1981,MATTHEW,166,21
1981,RYAN,141,22
1981,MICHAEL,137,23
1981,JOSEPH,135,24
1981,JASON,129,25
1981,CHRISTOPHER,127,26
1981,DAVID,109,27
1981,DANIEL,102,28
1981,JONATHAN,101,29
1981,ANDREW,95,30
1981,JAMES,84,31
1981,JUSTIN,81,32
1981,ERIC,78,33
1981,ADAM,78,34
1981,KEVIN,76,35
1981,ROBERT,75,36
1981,MARC,72,37
1981,MATHIEU,72,38
1981,JEREMY,67,39
1981,NICHOLAS,65,40
1982,CHRISTOPHER,171,41
1982,MATTHEW,164,42
1982,MICHAEL,157,43
1982,JASON,135,44
1982,JOSEPH,129,45
1982,DAVID,116,46
1982,JONATHAN,111,47
1982,RYAN,109,48
1982,ANDREW,100,49
1982,ADAM,92,50
1982,ROBERT,80,51
1982,JAMES,80,52
1982,ERIC,77,53
1982,KEVIN,74,54
1982,DANIEL,72,55
1982,JOHN,69,56
1982,MATHIEU,68,57
1982,JUSTIN,64,58
1982,MARC,59,59
1982,JEREMY,59,60
1983,MATTHEW,173,61
1983,MICHAEL,143,62
1983,CHRISTOPHER,131,63
1983,JOSEPH,127,64
1983,RYAN,123,65
1983,JASON,112,66
1983,ANDREW,103,67
1983,JUSTIN,96,68
1983,DAVID,95,69
1983,ADAM,94,70
1983,JONATHAN,92,71
1983,DANIEL,91,72
1983,NICHOLAS,82,73
1983,MATHIEU,78,74
1983,KEVIN,73,75
1983,ERIC,70,76
1983,ROBERT,69,77
1983,JAMES,69,78
1983,MARC,69,79
1983,MARK,69,80
1984,MATTHEW,165,81
1984,CHRISTOPHER,151,82
1984,MICHAEL,144,83
1984,JASON,127,84
1984,JOSEPH,119,85
1984,ANDREW,112,86
1984,JOSHUA,108,87
1984,RYAN,106,88
1984,DANIEL,95,89
1984,ADAM,94,90
1984,MATHIEU,92,91
1984,JUSTIN,89,92
1984,JONATHAN,84,93
1984,NICHOLAS,81,94
1984,KEVIN,80,95
1984,DAVID,78,96
1984,ERIC,70,97
1984,JAMES,65,98
1984,JEFFREY,64,99
1984,MARC,62,100
1985,MATTHEW,153,101
1985,CHRISTOPHER,136,102
1985,JASON,119,103
1985,MICHAEL,112,104
1985,JONATHAN,97,105
1985,RYAN,95,106
1985,JOSHUA,89,107
1985,JOSEPH,88,108
1985,DANIEL,86,109
1985,ADAM,84,110
1985,JUSTIN,81,111
