Year,Name,Count,Rank
1920,MARY,639,1
1920,MARGARET,238,88
1920,MARIE,171,229
1920,DOROTHY,163,282
1920,ANNIE,158,299
1920,HELEN,152,333
1920,JEAN,106,699
1920,ELIZABETH,105,712
1920,FLORENCE,94,855
1920,RUTH,87,959
1920,CATHERINE,84,992
1920,DORIS,81,1028
1920,ALICE,78,1060
1920,EDITH,78,1064
1920,MURIEL,67,1272
1920,HAZEL,66,1289
1920,MARJORIE,65,1315
1920,KATHLEEN,63,1354
1920,EVELYN,62,1380
1920,LILLIAN,61,1403
1921,MARY,626,3
1921,MARGARET,202,144
1921,DOROTHY,185,178
1921,MARIE,167,249
1921,HELEN,146,372
1921,ANNIE,126,518
1921,JEAN,107,684
1921,FLORENCE,106,695
1921,ELIZABETH,100,779
1921,MARION,89,933
1921,CATHERINE,82,1016
1921,DORIS,81,1029
1921,ALICE,80,1037
1921,MILDRED,79,1056
1921,MARJORIE,75,1119
1921,MURIEL,71,1191
1921,LILLIAN,70,1208
1921,RUTH,70,1210
1921,EDITH,68,1235
1921,EVELYN,66,1287
1922,MARY,594,4
1922,MARGARET,225,104
1922,MARIE,156,305
1922,DOROTHY,152,332
1922,HELEN,138,418
1922,ANNIE,122,549
1922,CATHERINE,100,775
1922,ELIZABETH,97,811
1922,DORIS,96,830
1922,RUTH,95,849
1922,FLORENCE,90,909
1922,JEAN,81,1034
1922,MARION,76,1099
1922,KATHLEEN,69,1219
1922,MURIEL,69,1227
1922,EDITH,68,1236
1922,LILLIAN,67,1267
1922,MILDRED,63,1364
1922,MARJORIE,60,1425
1922,EVELYN,58,1468
1923,MARY,556,8
1923,MARGARET,196,156
1923,MARIE,164,274
1923,DOROTHY,148,363
1923,HELEN,126,519
1923,JEAN,121,570
1923,ANNIE,108,668
1923,ELIZABETH,86,965
1923,FLORENCE,86,967
1923,RUTH,83,1010
1923,CATHERINE,74,1125
1923,MARJORIE,72,1177
1923,DORIS,70,1201
1923,EVELYN,69,1217
1923,LILLIAN,67,1268
1923,MARION,66,1296
1923,EDITH,57,1491
1923,FRANCES,54,1564
1923,ALICE,53,1587
1923,JESSIE,53,1597
