Year,Name,Count,Rank
1920,JOHN,451,36
1920,JOSEPH,303,151
1920,JAMES,269,210
1920,WILLIAM,269,213
1920,GEORGE,247,265
1920,CHARLES,150,632
1920,ROBERT,142,698
1920,DONALD,138,731
1920,HAROLD,121,878
1920,ARTHUR,111,970
1920,THOMAS,102,1074
1920,EDWARD,80,1362
1920,GERALD,77,1392
1920,WALTER,77,1404
1920,GORDON,71,1481
1920,RALPH,69,1528
1920,ALBERT,62,1609
1920,KENNETH,62,1616
1920,DOUGLAS,61,1628
1920,RONALD,57,1709
1921,JOHN,490,20
1921,JOSEPH,355,96
1921,WILLIAM,279,193
1921,JAMES,244,280
1921,GEORGE,209,372
1921,CHARLES,173,514
1921,DONALD,165,547
1921,ROBERT,156,595
1921,ARTHUR,112,959
1921,HAROLD,109,992
1921,GERALD,90,1207
1921,EDWARD,87,1249
1921,THOMAS,87,1259
1921,RONALD,69,1529
1921,GORDON,68,1535
1921,WALTER,67,1554
1921,DOUGLAS,66,1556
1921,KENNETH,66,1561
1921,RALPH,66,1568
1921,ALBERT,65,1570
1922,JOHN,456,34
1922,JOSEPH,320,125
1922,JAMES,279,191
1922,WILLIAM,259,238
1922,DONALD,191,434
1922,GEORGE,187,459
1922,CHARLES,169,527
1922,ROBERT,152,621
1922,ARTHUR,113,950
1922,HAROLD,107,1011
1922,THOMAS,94,1159
1922,WALTER,82,1342
1922,GERALD,81,1346
1922,EDWARD,77,1391
1922,RALPH,77,1400
1922,KENNETH,72,1466
1922,GORDON,71,1482
1922,DOUGLAS,70,1502
1922,ALEXANDER,63,1595
1922,HENRY,63,1599
1923,JOHN,375,75
1923,JOSEPH,303,152
1923,JAMES,232,315
1923,WILLIAM,214,361
1923,GEORGE,211,366
1923,DONALD,185,465
1923,CHARLES,154,600
1923,ROBERT,132,782
1923,HAROLD,115,930
1923,GERALD,90,1208
1923,ARTHUR,75,1422
1923,DOUGLAS,71,1478
1923,EDWARD,70,1506
1923,WALTER,70,1515
1923,THOMAS,69,1531
1923,KENNETH,67,1550
1923,RONALD,67,1552
1923,HARRY,62,1614
1923,FRANCIS,59,1655
