firstName,regionOrigin,regionOrigin
AADEN,Europe,Western Europe
AADHYA,Asia,Southern Asia
AADYA,Asia,Southern Asia
AALIYAH,Asia,South-Eastern Asia
AANYA,Asia,Southern Asia
AARAV,Asia,Southern Asia
AARON,Europe,Northern Europe
AARUSH,Asia,Southern Asia
AARYA,Asia,Southern Asia
AARYAN,Asia,Southern Asia
AAYAN,Asia,Southern Asia
ABBEY,Europe,Northern Europe
ABBIE,Europe,Northern Europe
ABBIGAIL,Europe,Northern Europe
ABBY,Europe,Northern Europe
ABBYGAIL,Europe,Northern Europe
ABDUL,Asia,Southern Asia
ABDULAZIZ,Asia,Western Asia
ABDULLAH,Asia,Western Asia
ABEER,Asia,Western Asia
ABEL,Africa,Eastern Africa
ABHIJOT,Asia,Southern Asia
ABIGAIL,Europe,Northern Europe
ABIGALE,Africa,Eastern Africa
ABIGAYLE,Europe,Northern Europe
ABIR,Asia,Southern Asia
ABRAHAM,Africa,Eastern Africa
ABRIELLE,Africa,Middle Africa
ACACIA,Europe,Northern Europe
ACE,Europe,Northern Europe
ACHILLES,Africa,Middle Africa
ADA,Asia,Western Asia
ADALINE,Europe,Northern Europe
ADALYN,Asia,Western Asia
ADALYNN,Europe,Northern Europe
ADAM,Europe,Eastern Europe
ADDILYN,Europe,Northern Europe
ADDISON,Europe,Northern Europe
ADDISYN,Asia,Central Asia
ADDYSON,Europe,Northern Europe
ADELA,Europe,Eastern Europe
ADELINE,Europe,Western Europe
ADEN,Asia,South-Eastern Asia
ADITYA,Asia,Southern Asia
ADONIS,Asia,Western Asia
ADRIAN,Europe,Eastern Europe
ADRIANO,Europe,Southern Europe
ADRIEL,Europe,Eastern Europe
ADRIEN,Europe,Western Europe
ADRIENNE,Europe,Western Europe
AEDAN,Europe,Northern Europe
AGAM,Asia,Western Asia
AGAMJOT,Asia,Central Asia
AGAMVEER,Asia,Western Asia
AGNES,Europe,Eastern Europe
AHAAN,Asia,Southern Asia
AHMAD,Asia,Western Asia
AHMED,Africa,Northern Africa
AIDAN,Asia,Central Asia
AIDEN,Asia,Central Asia
AIKAM,Asia,Central Asia
AIKO,Asia,Eastern Asia
AJAY,Asia,Southern Asia
AJEET,Asia,Southern Asia
AJIT,Asia,Southern Asia
AKASH,Asia,Southern Asia
AKASHDEEP,Asia,Southern Asia
AKIRA,Asia,Eastern Asia
ALAN,Europe,Northern Europe
ALANA,Asia,Western Asia
ALANNA,Europe,Northern Europe
ALBERT,Europe,Western Europe
ALEX,Europe,Eastern Europe
ALEXA,Europe,Eastern Europe
ALEXANDER,Europe,Eastern Europe
ALEXANDRA,Europe,Eastern Europe
ALEXANDRIA,Europe,Eastern Europe
ALEXIS,Europe,Western Europe
ALFRED,Europe,Western Europe
ALI,Asia,Western Asia
ALICE,Europe,Northern Europe
ALICIA,Europe,Eastern Europe
ALISHA,Europe,Eastern Europe
ALISON,Europe,Northern Europe
ALLAN,Europe,Northern Europe
ALLEN,Europe,Northern Europe
ALLISON,Europe,Northern Europe
ALMA,Asia,Central Asia
ALVIN,Asia,Western Asia
ALYSHA,Europe,Northern Europe
ALYSSA,Europe,Northern Europe
AMANDA,Europe,Northern Europe
AMARA,Asia,Southern Asia
AMAYA,Asia,Western Asia
AMBER,Asia,Western Asia
AMELIA,Asia,South-Eastern Asia
AMY,Europe,Northern Europe
ANDREA,Europe,Southern Europe
ANDREW,Europe,Northern Europe
ANGELA,Europe,Southern Europe
ANGELINA,Europe,Eastern Europe
ANGUS,Europe,Northern Europe
ANIKA,Europe,Eastern Europe
ANITA,Asia,Southern Asia
ANN,Europe,Northern Europe
ANNA,Europe,Eastern Europe
ANNABELLE,Europe,Western Europe
ANNE,Europe,Western Europe
ANNETTE,Europe,Northern Europe
ANNIE,Europe,Northern Europe
ANNIKA,Europe,Northern Europe
ANTHONY,Europe,Northern Europe
APRIL,Europe,Northern Europe
ARCHER,Europe,Northern Europe
ARCHIBALD,Europe,Northern Europe
ARIA,Asia,South-Eastern Asia
ARIANA,Asia,South-Eastern Asia
ARIANNA,Europe,Southern Europe
ARJUN,Asia,Southern Asia
ARLENE,Europe,Western Europe
ARLO,Europe,Southern Europe
ARMAAN,Asia,Central Asia
ARNOLD,Europe,Western Europe
ARTHUR,Asia,Western Asia
ARYA,Asia,Southern Asia
ASEES,Asia,Western Asia
ASHER,Asia,Southern Asia
ASHLEE,Europe,Northern Europe
ASHLEIGH,Europe,Northern Europe
ASHLEY,Europe,Northern Europe
ASHTON,Europe,Northern Europe
ASPEN,Europe,Northern Europe
ATHENA,Asia,Western Asia
AUBREE,Europe,Western Europe
AUBREY,Africa,Southern Africa
AUDREY,Europe,Western Europe
AUGUST,Europe,Western Europe
AURORA,Europe,Eastern Europe
AUSTIN,Europe,Northern Europe
AUTUMN,Europe,Northern Europe
AVA,Asia,Western Asia
AVERY,Asia,Western Asia
AXEL,Europe,Western Europe
AYDEN,Asia,Western Asia
AYLA,Asia,Western Asia
BAILEY,Europe,Northern Europe
BARBARA,Europe,Eastern Europe
BARRIE,Europe,Northern Europe
BARRY,Europe,Northern Europe
BEATRICE,Africa,Eastern Africa
BEAU,Africa,Middle Africa
BELLA,Europe,Eastern Europe
BENJAMIN,Europe,Western Europe
BENNETT,Europe,Eastern Europe
BENTLEY,Europe,Northern Europe
BERNARD,Europe,Western Europe
BERNICE,Africa,Middle Africa
BERT,Europe,Western Europe
BERTHA,Africa,Eastern Africa
BERYL,Europe,Northern Europe
BETTY,Africa,Western Africa
BEVERLEY,Europe,Northern Europe
BEVERLY,Europe,Northern Europe
BILL,Europe,Northern Europe
BILLY,Europe,Northern Europe
BLAIR,Africa,Middle Africa
BLAKE,Europe,Northern Europe
BLAKELY,Europe,Northern Europe
BLANCHE,Africa,Middle Africa
BODHI,Asia,Southern Asia
BONITA,Africa,Southern Africa
BONNIE,Africa,Southern Africa
BOWEN,Asia,Eastern Asia
BRADEN,Europe,Northern Europe
BRADLEY,Europe,Northern Europe
BRADY,Europe,Northern Europe
BRANDI,Africa,Southern Africa
BRANDON,Europe,Northern Europe
BRANDY,Europe,Northern Europe
BRAYDEN,Europe,Northern Europe
BREANNA,Europe,Northern Europe
BREANNE,Europe,Northern Europe
BRENDA,Europe,Northern Europe
BRENDAN,Europe,Northern Europe
BRENT,Europe,Western Europe
BRETT,Europe,Northern Europe
BRIAN,Europe,Northern Europe
BRIANNA,Europe,Northern Europe
BRIANNE,Europe,Northern Europe
BRIELLE,Africa,Middle Africa
BRITTANY,Europe,Northern Europe
BRITTNEY,Europe,Northern Europe
BRODY,Europe,Northern Europe
BROOKE,Europe,Northern Europe
BROOKLYN,Europe,Northern Europe
BROOKLYNN,Europe,Northern Europe
BROOKS,Europe,Northern Europe
BRUCE,Europe,Northern Europe
BRYAN,Europe,Northern Europe
BRYCE,Europe,Northern Europe
BRYNLEE,Europe,Northern Europe
BRYNN,Europe,Northern Europe
BYRON,Europe,Northern Europe
CADEN,Europe,Northern Europe
CADENCE,Europe,Western Europe
CAITLIN,Europe,Northern Europe
CAITLYN,Europe,Northern Europe
CALEB,Africa,Eastern Africa
CALLIE,Europe,Northern Europe
CALLUM,Europe,Northern Europe
CALVIN,Europe,Northern Europe
CAMERON,Europe,Northern Europe
CANDACE,Europe,Northern Europe
CANDICE,Europe,Western Europe
CARL,Europe,Northern Europe
CARLA,Europe,Southern Europe
CARLY,Europe,Northern Europe
CARMEN,Europe,Eastern Europe
CAROL,Europe,Northern Europe
CAROLE,Europe,Western Europe
CAROLINE,Africa,Eastern Africa
CAROLYN,Europe,Northern Europe
CARRIE,Europe,Northern Europe
CARSON,Europe,Northern Europe
CARTER,Europe,Northern Europe
CASSANDRA,Europe,Northern Europe
CASSIDY,Europe,Western Europe
CATHERINE,Europe,Western Europe
CATHY,Europe,Northern Europe
CECIL,Europe,Northern Europe
CHAD,Asia,Western Asia
CHANTAL,Europe,Western Europe
CHANTEL,Africa,Southern Africa
CHANTELLE,Africa,Middle Africa
CHARLENE,Europe,Western Europe
CHARLES,Africa,Eastern Africa
CHARLIE,Europe,Northern Europe
CHARLOTTE,Europe,Western Europe
CHASE,Asia,Eastern Asia
CHELSEA,Europe,Northern Europe
CHELSEY,Europe,Northern Europe
CHERYL,Europe,Northern Europe
CHEYENNE,Europe,Western Europe
CHLOE,Europe,Western Europe
CHRISTIAN,Europe,Western Europe
CHRISTINA,Asia,Western Asia
CHRISTINE,Europe,Western Europe
CHRISTOPHER,Europe,Northern Europe
CHRISTY,Europe,Northern Europe
CINDY,Europe,Western Europe
CLAIRE,Europe,Western Europe
CLARA,Europe,Northern Europe
CLARENCE,Europe,Western Europe
CLAYTON,Europe,Northern Europe
CLIFFORD,Europe,Northern Europe
CLINTON,Europe,Northern Europe
CLIVE,Europe,Northern Europe
CODY,Europe,Northern Europe
COHEN,Asia,Western Asia
COLBY,Europe,Northern Europe
COLE,Europe,Western Europe
COLIN,Europe,Northern Europe
COLLEEN,Europe,Northern Europe
COLTON,Europe,Northern Europe
CONNIE,Europe,Northern Europe
CONNOR,Europe,Northern Europe
CONSTANCE,Europe,Western Europe
COOPER,Africa,Western Africa
COREY,Europe,Northern Europe
CORINNE,Europe,Western Europe
CORY,Europe,Northern Europe
COURTNEY,Europe,Northern Europe
CRAIG,Europe,Northern Europe
CRYSTAL,Asia,Western Asia
CURTIS,Europe,Northern Europe
CYNTHIA,Africa,Western Africa
CYRIL,Europe,Western Europe
DAISY,Europe,Northern Europe
DAKOTA,Asia,Central Asia
DALE,Europe,Northern Europe
DALLAS,Europe,Northern Europe
DALTON,Europe,Northern Europe
DANA,Europe,Eastern Europe
DANICA,Europe,Eastern Europe
DANIEL,Europe,Eastern Europe
DANIELLE,Europe,Western Europe
DANIKA,Europe,Eastern Europe
DANNY,Europe,Northern Europe
DAPHNE,Europe,Western Europe
DARCY,Europe,Northern Europe
DARIN,Europe,Southern Europe
DARLENE,Africa,Middle Africa
DARRELL,Europe,Northern Europe
DARREN,Europe,Northern Europe
DARRYL,Europe,Northern Europe
DARYL,Europe,Northern Europe
DAVID,Europe,Northern Europe
DAWN,Europe,Northern Europe
DAWSON,Europe,Northern Europe
DEAN,Europe,Northern Europe
DEANNA,Europe,Northern Europe
DEBBIE,Europe,Northern Europe
DEBORAH,Europe,Northern Europe
DEBRA,Europe,Northern Europe
DECLAN,Europe,Northern Europe
DENIS,Europe,Eastern Europe
DENISE,Europe,Western Europe
DENNIS,Africa,Eastern Africa
DEREK,Europe,Northern Europe
DESTINY,Asia,South-Eastern Asia
DEVIN,Europe,Northern Europe
DEVON,Europe,Northern Europe
